"UniProt","name","direction","importance"
"Q5T0L3","SPT46","down",0.113059077617698
"Q8N4C9.1",NA,"down",0.112948127071575
"Q96LC9","BMF","up",0.11281941320474
"Q96RU3","FNBP1","down",0.112812272532738
"P51813","BMX","down",0.112812272532738
"Q8TCW7","ZPLD1","down",0.112812272532738
"P09228","CYTT","up",0.112812272532738
"K9M1U5","IFNL4","up",0.112697317623397
"P15692","VEGF121","down",0.112637902802482
"A1KZ92","PXDNL","up",0.112627399592386
"Q9NQT4","EXOS5","up",0.112434416698621
"P01148","GON1","down",0.112353235466445
"Q6ZMJ2","SCAR5","down",0.112165801862199
"P22894.1",NA,"down",0.112165801862199
"Q15466","SHP","up",0.112118153268961
"P06237","NOH4_RHIML","down",0.11210220969292
"P0CG29","GST2","up",0.1120915313987
"Q9UHY1","NRBP","up",0.111723092259136
"Q9Y4C5.1",NA,"up",0.111701789177984
"Q12805","FBLN3","down",0.111673874718841
"Q99LC4.10",NA,"up",0.111458912076077
"Q7Z4W2","LYZL2","down",0.111458912076077
